source,domain,time_period,variable,path
BRAN2020,ocean,annual,['eta_t'],/g/data/gb6/BRAN/BRAN2020/annual/ocean_eta_t_ann_1999.nc
BRAN2020,ocean,annual,['eta_t'],/g/data/gb6/BRAN/BRAN2020/annual/ocean_eta_t_ann_2000.nc
BRAN2020,ocean,annual,['eta_t'],/g/data/gb6/BRAN/BRAN2020/annual/ocean_eta_t_ann_2001.nc
BRAN2020,ocean,annual,['eta_t'],/g/data/gb6/BRAN/BRAN2020/annual/ocean_eta_t_ann_2002.nc
BRAN2020,ocean,annual,['eta_t'],/g/data/gb6/BRAN/BRAN2020/annual/ocean_eta_t_ann_2003.nc
BRAN2020,ocean,annual,['eta_t'],/g/data/gb6/BRAN/BRAN2020/annual/ocean_eta_t_ann_2004.nc
BRAN2020,ocean,annual,['eta_t'],/g/data/gb6/BRAN/BRAN2020/annual/ocean_eta_t_ann_2005.nc
BRAN2020,ocean,annual,['eta_t'],/g/data/gb6/BRAN/BRAN2020/annual/ocean_eta_t_ann_2006.nc
BRAN2020,ocean,annual,['eta_t'],/g/data/gb6/BRAN/BRAN2020/annual/ocean_eta_t_ann_2007.nc
BRAN2020,ocean,annual,['eta_t'],/g/data/gb6/BRAN/BRAN2020/annual/ocean_eta_t_ann_2008.nc
BRAN2020,ocean,annual,['eta_t'],/g/data/gb6/BRAN/BRAN2020/annual/ocean_eta_t_ann_2009.nc
BRAN2020,ocean,annual,['eta_t'],/g/data/gb6/BRAN/BRAN2020/annual/ocean_eta_t_ann_2010.nc
BRAN2020,ocean,annual,['eta_t'],/g/data/gb6/BRAN/BRAN2020/annual/ocean_eta_t_ann_2011.nc
BRAN2020,ocean,annual,['eta_t'],/g/data/gb6/BRAN/BRAN2020/annual/ocean_eta_t_ann_2012.nc
BRAN2020,ocean,annual,['eta_t'],/g/data/gb6/BRAN/BRAN2020/annual/ocean_eta_t_ann_2013.nc
BRAN2020,ocean,annual,['eta_t'],/g/data/gb6/BRAN/BRAN2020/annual/ocean_eta_t_ann_2014.nc
BRAN2020,ocean,annual,['eta_t'],/g/data/gb6/BRAN/BRAN2020/annual/ocean_eta_t_ann_2015.nc
BRAN2020,ocean,annual,['eta_t'],/g/data/gb6/BRAN/BRAN2020/annual/ocean_eta_t_ann_2016.nc
BRAN2020,ocean,annual,['eta_t'],/g/data/gb6/BRAN/BRAN2020/annual/ocean_eta_t_ann_2017.nc
BRAN2020,ocean,annual,['eta_t'],/g/data/gb6/BRAN/BRAN2020/annual/ocean_eta_t_ann_2018.nc
BRAN2020,ocean,annual,['eta_t'],/g/data/gb6/BRAN/BRAN2020/annual/ocean_eta_t_ann_2019.nc
BRAN2020,ocean,annual,['eta_t'],/g/data/gb6/BRAN/BRAN2020/annual/ocean_eta_t_ann_2020.nc
BRAN2020,ocean,annual,['eta_t'],/g/data/gb6/BRAN/BRAN2020/annual/ocean_eta_t_ann_2021.nc
BRAN2020,ocean,annual,['eta_t'],/g/data/gb6/BRAN/BRAN2020/annual/ocean_eta_t_ann_2022.nc
BRAN2020,ocean,annual,"['sfc_hflux', 'sfc_salt_flux_restore', 'pme_sbc', 'tau_x', 'tau_y', 'river', 'evap', 'lprec', 'swflx', 'evap_heat', 'sens_heat', 'lw_heat', 'bmf_u', 'bmf_v']",/g/data/gb6/BRAN/BRAN2020/annual/ocean_force_ann_1993.nc
BRAN2020,ocean,annual,"['sfc_hflux', 'sfc_salt_flux_restore', 'pme_sbc', 'tau_x', 'tau_y', 'river', 'evap', 'lprec', 'swflx', 'evap_heat', 'sens_heat', 'lw_heat', 'bmf_u', 'bmf_v']",/g/data/gb6/BRAN/BRAN2020/annual/ocean_force_ann_1994.nc
